 table_schema |      table_name      |             constraint_name             | constraint_type 
--------------+----------------------+-----------------------------------------+-----------------
 login        | job_outbox           | 16905_16935_10_not_null                 | CHECK
 login        | job_outbox           | job_outbox_state_check                  | CHECK
 login        | job_outbox           | 16905_16935_1_not_null                  | CHECK
 login        | job_outbox           | 16905_16935_2_not_null                  | CHECK
 login        | job_outbox           | 16905_16935_3_not_null                  | CHECK
 login        | job_outbox           | 16905_16935_4_not_null                  | CHECK
 login        | job_outbox           | job_outbox_task_id_fkey                 | FOREIGN KEY
 login        | job_outbox           | job_outbox_pkey                         | PRIMARY KEY
 login        | job_outbox           | job_outbox_pg_boss_key_key              | UNIQUE
 login        | result_outbox        | 16905_16953_2_not_null                  | CHECK
 login        | result_outbox        | 16905_16953_7_not_null                  | CHECK
 login        | result_outbox        | 16905_16953_3_not_null                  | CHECK
 login        | result_outbox        | 16905_16953_13_not_null                 | CHECK
 login        | result_outbox        | 16905_16953_4_not_null                  | CHECK
 login        | result_outbox        | 16905_16953_1_not_null                  | CHECK
 login        | result_outbox        | 16905_16953_12_not_null                 | CHECK
 login        | result_outbox        | 16905_16953_5_not_null                  | CHECK
 login        | result_outbox        | result_outbox_state_check               | CHECK
 login        | result_outbox        | result_outbox_task_id_fkey              | FOREIGN KEY
 login        | result_outbox        | result_outbox_pkey                      | PRIMARY KEY
 login        | task_secrets         | 16905_16922_3_not_null                  | CHECK
 login        | task_secrets         | 16905_16922_1_not_null                  | CHECK
 login        | task_secrets         | 16905_16922_4_not_null                  | CHECK
 login        | task_secrets         | 16905_16922_2_not_null                  | CHECK
 login        | task_secrets         | task_secrets_task_id_fkey               | FOREIGN KEY
 login        | task_secrets         | task_secrets_pkey                       | PRIMARY KEY
 login        | tasks                | 16905_16906_2_not_null                  | CHECK
 login        | tasks                | 16905_16906_1_not_null                  | CHECK
 login        | tasks                | tasks_sso_type_check                    | CHECK
 login        | tasks                | tasks_status_check                      | CHECK
 login        | tasks                | 16905_16906_3_not_null                  | CHECK
 login        | tasks                | 16905_16906_12_not_null                 | CHECK
 login        | tasks                | 16905_16906_11_not_null                 | CHECK
 login        | tasks                | 16905_16906_9_not_null                  | CHECK
 login        | tasks                | 16905_16906_7_not_null                  | CHECK
 login        | tasks                | 16905_16906_6_not_null                  | CHECK
 login        | tasks                | 16905_16906_5_not_null                  | CHECK
 login        | tasks                | tasks_pkey                              | PRIMARY KEY
 proxy        | accounts             | accounts_gh_token_status_check          | CHECK
 proxy        | accounts             | accounts_copilot_token_status_check     | CHECK
 proxy        | accounts             | 16821_16822_1_not_null                  | CHECK
